,IMF_mean,IMF_std,IMF_energy,IMF_max,IMF_min,IMF_median,IMF_skewness,IMF_kurtosis,Label
IR6,5.55081E-05,0.000281385,0.003246252,0.001068498,-0.001018864,6.11994E-06,0.252786278,4.032802161,1
IR7,4.27122E-05,0.000338336,0.005163184,0.001011598,-0.001592019,4.60625E-06,-0.380100378,4.943336056,1
IR8,0.000115517,0.000421656,0.00754306,0.001224929,-0.001378913,7.66121E-06,0.492540452,1.458423629,1
IR9,0.000100638,0.00036515,0.004953903,0.000950653,-0.000863771,7.50196E-06,0.518317552,0.962031006,1
IR10,4.73435E-05,0.000264169,0.002487159,0.00088637,-0.000892657,7.14476E-06,-0.233828528,2.719377562,1
IR11,4.25491E-05,0.00026128,0.002765548,0.001087157,-0.000973802,9.86059E-06,-0.174507613,3.364130367,1
IR12,3.78468E-05,0.000255945,0.002641731,0.001087113,-0.000848057,7.60948E-06,-0.133862485,2.621308181,1
AsB1,-4.76323E-05,0.000175314,0.001139652,0.000583572,-0.000827169,-8.2797E-06,-1.698930543,4.824200512,0
AsB2,-2.87305E-05,0.000179323,0.001464303,0.000670007,-0.000673283,-4.60006E-06,-0.728835837,3.316655345,0
AsB3,4.90838E-05,0.000166265,0.001037774,0.000761205,-0.000286665,5.31223E-06,2.173363273,5.531276694,0
AsB4,6.71573E-05,0.000206362,0.001858575,0.000817773,-0.000432326,6.9131E-06,1.751070526,2.828889255,0
AsB5,4.48255E-05,0.00017551,0.001294935,0.000760396,-0.000624554,6.85826E-06,1.383196383,3.913430751,0
AsB6,-7.89735E-06,0.000147816,0.000864733,0.000463279,-0.000444938,-2.85255E-06,0.140718546,0.353412239,0
AsB7,7.7279E-05,0.000228191,0.002004286,0.000853843,-0.000451751,9.62147E-06,1.193664315,1.28779957,0
AsB8,6.40935E-05,0.000225807,0.001902546,0.000734895,-0.000798229,9.57949E-06,0.754765059,1.770671484,0
AsB9,7.51475E-05,0.000238229,0.002154737,0.000925116,-0.000971019,9.95066E-06,1.102362866,2.434937059,0
AsB10,4.08101E-05,0.000191528,0.001324211,0.000757545,-0.000637574,6.83407E-06,0.759316804,2.266538712,0
AsB11,6.73064E-05,0.000209003,0.001664823,0.00074783,-0.000573696,1.01529E-05,0.936592934,1.295138046,0
AsB12,5.92247E-05,0.000215366,0.00172275,0.000784607,-0.000855726,6.05445E-06,0.922065822,2.578354467,0
AsB13,4.12246E-05,0.000172057,0.001080931,0.00072717,-0.000426762,5.57738E-06,1.388432831,2.960269037,0
AsB14,0.000111287,0.000246343,0.001441809,0.000737797,-0.000370841,1.41876E-05,0.869828634,-0.118301381,0
AsR1,3.80511E-05,0.00014946,0.00105603,0.000486143,-0.000466109,2.8203E-06,0.872457063,2.670213274,1
AsR2,4.49937E-05,0.000209135,0.001805953,0.000657321,-0.000568594,6.47504E-06,0.369113493,0.734870395,1
AsR3,5.52435E-05,0.000239725,0.002089819,0.000803907,-0.000873464,7.38058E-06,0.256002904,1.963678305,1
AsR4,3.0935E-05,0.00020977,0.001552523,0.000646402,-0.000700044,6.20425E-06,-0.221898801,1.28915644,1
Ub1,-7.61342E-06,0.000337874,0.003380597,0.001524542,-0.001610311,-9.46195E-07,0.013260129,3.661185264,0
Ub2,4.90522E-05,0.000327632,0.00378973,0.001430319,-0.001346069,9.06108E-06,-0.114778775,3.152219914,0
Ub3,2.63119E-05,0.000319282,0.00354402,0.001408993,-0.001795082,8.374E-06,-0.126838731,3.369777637,0
Ub4,3.33513E-05,0.000321864,0.003615705,0.001326357,-0.001311543,1.08757E-05,-0.196722529,3.112760563,0
Ub5,3.80816E-05,0.00034282,0.003521451,0.001254967,-0.001244197,6.71976E-06,-0.153395206,2.738422094,0
Ub6,3.54059E-05,0.000319185,0.003561274,0.001559917,-0.001841272,1.2623E-05,-0.218342233,3.506898549,0
Ub7,4.91826E-05,0.000332564,0.003902606,0.001382179,-0.001496434,9.16653E-06,-0.180554992,2.631232952,0
Ub8,4.54236E-05,0.000352676,0.003742471,0.001745892,-0.001726155,1.13798E-05,-0.195147593,2.547132409,0
Ub9,5.02399E-05,0.00034292,0.004147812,0.001455936,-0.001239646,1.10336E-05,-0.14172644,2.218792481,0
Ub10,4.20695E-05,0.000351428,0.004325744,0.001334544,-0.001308885,1.074E-05,-0.157448741,2.045354667,0
Ub11,5.33897E-05,0.00035913,0.00455204,0.001240869,-0.001292899,1.67805E-05,-0.169194129,1.65172916,0
Ub12,0.000134609,0.000478031,0.008516505,0.001533323,-0.001584329,1.29978E-05,0.431465656,0.386937225,0
UR1,5.37616E-05,0.000602348,0.010824379,0.001807183,-0.001740077,1.82901E-05,-0.269668264,1.273769043,1
UR2,4.06871E-05,0.000596836,0.010592192,0.001646406,-0.001738337,6.91176E-06,-0.266977546,1.225142251,1
UR3,4.87526E-05,0.000549393,0.009004003,0.001350768,-0.001603682,2.03344E-05,-0.446680238,0.392814324,1
UR4,9.50625E-05,0.000836767,0.024489945,0.00222374,-0.002412416,5.67868E-06,-0.259819328,0.638535282,1
UR5,2.10565E-05,0.000715313,0.015157631,0.001905439,-0.001899345,1.55627E-06,0.023202728,1.242943884,1
UR6,4.62185E-05,0.000740415,0.01628929,0.001922719,-0.001916865,5.36549E-06,-0.019919953,1.276857177,1
UR7,2.28858E-05,0.000778344,0.017946549,0.001975861,-0.002061781,1.02125E-05,-0.336794699,0.973177477,1
UR8,3.43131E-05,0.000780798,0.018079146,0.001969851,-0.002347793,3.02871E-06,-0.245034689,1.097128157,1
UR9,4.67881E-05,0.000803078,0.019153574,0.002568623,-0.002093249,1.50968E-05,-0.057171557,0.89038219,1
UR10,5.90657E-05,0.000771583,0.017724158,0.002107112,-0.002355569,1.3778E-05,-0.262879882,1.15011326,1
UR11,2.57885E-05,0.000773433,0.017725163,0.002142308,-0.002135171,9.87703E-06,-0.04047137,1.381721656,1
er1,5.79785E-05,0.000173904,0.000496805,0.000708448,-0.000401478,1.23658E-05,1.652834595,3.03991084,1
