,DWT_mean,DWT_std,DWT_energy,DWT_median,DWT_skewness,DWT_kurtosis,Label
0.000136,7.04383E-05,0.000498764,0.000633304,3.9457E-07,5.563538351,35.01861916,0
-0.000314,5.19635E-05,0.000452142,0.000517003,1.24362E-06,5.330722618,39.53950164,0
0.000677.1,8.03133E-05,0.000543063,0.000752215,5.25279E-07,5.879563729,38.06864165,0
0.000483,6.21562E-05,0.00047404,0.000570529,1.07017E-06,5.510563253,35.17069207,0
0.000744,7.64029E-05,0.000541344,0.000746032,-9.55E-07,6.10909806,41.49580121,0
0.000024,7.20007E-05,0.000527057,0.000706301,-2.55E-07,6.247564193,43.26375852,0
0.000101,6.52709E-05,0.000463157,0.000546061,5.71301E-08,5.681241721,37.48884591,0
0.000287,5.27143E-05,0.000441161,0.000492715,5.08403E-07,4.865278429,31.38024817,0
0.000577,7.08297E-05,0.000491698,0.000615972,4.35539E-08,5.815990925,38.98332992,0
0.000775,7.53201E-05,0.000524937,0.000701955,-1.33E-06,6.641336755,45.32369503,1
0.000657,5.46038E-05,0.000452543,0.000518612,-2.05E-06,6.168073497,44.93490071,1
-0.000007,5.63677E-05,0.000506142,0.000647356,-2.55E-06,6.144537956,45.87451167,1
-0.000194,5.3727E-05,0.000474445,0.000569049,-1.66E-06,6.509240653,50.04065396,1
0.000909,8.34472E-05,0.000606946,0.000936864,-1.51E-06,6.565807099,44.72960016,1
-0.000194.1,6.79642E-05,0.000590963,0.000883225,-2.25E-06,6.409637391,49.00417262,1
0.001124,8.09561E-05,0.000720073,0.001310546,-7.67E-07,7.102628541,55.68986364,1
-0.000453,5.63143E-05,0.000644205,0.001043755,-1.32E-06,6.187865213,51.68285192,1
0.000287.1,6.34962E-05,0.000483497,0.000593552,1.37388E-06,6.381745794,45.85422751,1
0.00029,5.26993E-05,0.000448655,0.000509355,-9.19E-07,5.700596345,38.86796379,1
0.000928,6.7139E-05,0.00058234,0.000857695,-5.83E-07,6.627761625,50.49368838,1
-0.000255,4.55328E-05,0.000525982,0.000695711,-5.60E-08,5.478850722,46.3787574,1
0.000323.1,6.84863E-05,0.000410831,0.000432988,1.1041E-06,5.519078082,31.29299185,0
0.000522,7.73629E-05,0.00044402,0.000507035,9.82014E-07,5.370911653,29.00648984,0
0.000141,5.36611E-05,0.000354738,0.000321282,-9.30E-07,5.661653361,34.6536358,0
0.000527,5.6712E-05,0.000348212,0.000310672,-1.08E-07,5.346579428,30.73374076,0
0.000101.1,5.91374E-05,0.000376116,0.000361822,-8.17E-07,5.590044119,33.320317,0
0.000596,7.52699E-05,0.000466228,0.000556693,-7.06E-07,5.761182131,34.16755741,0
0.000218.1,4.63149E-05,0.000312616,0.000249285,1.8449E-07,5.284047623,30.96469342,0
0.000425,7.80671E-05,0.000459317,0.000541799,1.47297E-06,5.414437986,29.86925579,0
0.001371,0.00010522,0.00080621,0.001649969,1.55892E-06,6.890483749,53.61650961,1
-0.000173,4.48383E-05,0.000643898,0.001039871,8.98225E-07,7.192601273,80.43353949,1
0.000618,0.000105259,0.000733481,0.001370489,1.4287E-06,6.5323199,48.40806155,1
0.001196,9.88678E-05,0.000930363,0.002184876,2.6995E-07,6.247184887,47.0894043,1
0.001417,6.6205E-05,0.00072127,0.001309435,2.07492E-07,6.924804859,66.77676292,1
0.000328,7.68733E-05,0.000876753,0.001933413,3.02079E-06,1.880718463,14.75840699,0
0.001042,5.10877E-05,0.000807752,0.001635062,2.15811E-06,0.608949431,8.891113766,0
-0.000296,2.10949E-05,0.00078705,0.00154725,1.88764E-06,-0.050163018,10.12490165,0
0.000384,2.47082E-05,0.000802549,0.00160916,1.90306E-06,0.429412478,11.35422003,0
-0.000273,8.70249E-05,0.000930414,0.002179615,2.86763E-06,1.067652465,8.951601025,0
0.001576,8.21359E-05,0.000929969,0.002175484,4.29676E-06,1.471065372,13.93832674,0
-0.000504.2,9.24446E-05,0.000967603,0.002358225,2.86951E-06,1.276634922,9.100705545,0
0.001096,5.4585E-05,0.000900079,0.002029553,2.18534E-06,1.448323423,18.28423518,0
-0.000198,6.29498E-05,0.000910849,0.002080689,8.62969E-06,0.531350294,8.585112005,0
0.001349,0.000293756,0.001632626,0.006868394,6.95333E-07,5.240792955,27.2146805,0
0.001957.1,0.000435663,0.002383503,0.014653733,4.50079E-07,5.160597188,25.43543134,0
0.001142,0.000197562,0.001125672,0.003260195,5.4508E-07,4.952981961,25.51549624,0
-0.000056,0.000107934,0.000761014,0.001474619,3.25609E-07,6.020588881,44.86027691,0
0.001163,-2.38E-05,0.000786051,0.001543628,-5.14E-07,-1.136351315,49.80743728,0
0.001573,8.47502E-05,0.001311448,0.004310786,1.13185E-09,0.839675439,11.98198915,0
-0.000985,8.79829E-05,0.001263231,0.004002317,8.44294E-06,0.412119082,9.211277878,0
-0.000469,5.27626E-05,0.001260581,0.003973252,-6.98E-07,0.071193637,8.954422583,0
0.002008,0.000103633,0.001283703,0.00413995,2.77958E-06,1.01343704,13.11165023,0
-0.001015,8.37187E-05,0.001193092,0.003570469,-1.15E-06,0.16144845,8.913783773,0
0.001433,7.72145E-05,0.001193355,0.003569424,-2.12E-06,0.273775809,8.971754782,0
0.000037.2,6.33817E-05,0.001198215,0.003593583,3.86948E-06,0.589908175,11.31767026,0
-0.000282,5.56431E-05,0.00118705,0.00352481,1.6442E-05,0.153210069,8.78438471,0
-0.001845,8.55085E-06,0.001270754,0.004030765,-6.68E-07,1.362632235,18.7202613,1
0.000861,8.09047E-05,0.001433585,0.005146034,-1.52E-06,3.136012419,26.98214189,1
0.001205,8.9903E-05,0.001440333,0.005198273,-7.12E-07,2.621208146,21.3879613,1
0.001925,6.17278E-05,0.001377378,0.004744846,1.65396E-06,3.027061242,27.81485975,1
